Government_School,Government_District,Government_Latitude,Government_Longitude,BEF_School,BEF_District,Distance_KM
GBPS HAMID PUR,Sohbat Pur,28.4668936969666,68.7632435131865,Darya khan gajani/Arbab Pandrani,Sohbat Pur,7.24
GBPS HAMID PUR,Sohbat Pur,28.4668936969666,68.7632435131865,Goth Gul Sher Kandrani,Sohbat Pur,2.02
GBPS VALAN GAJANI,Sohbat Pur,28.4839946867618,68.7538431090597,Raheem Bakhsh Kandrani,Sohbat Pur,6.24
GBPS VALAN GAJANI,Sohbat Pur,28.4839946867618,68.7538431090597,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,7.71
GBPS VALAN GAJANI,Sohbat Pur,28.4839946867618,68.7538431090597,Darya khan gajani/Arbab Pandrani,Sohbat Pur,8.57
GBPS VALAN GAJANI,Sohbat Pur,28.4839946867618,68.7538431090597,Goth Gul Sher Kandrani,Sohbat Pur,0.76
GBHS MURID BAROHI,Sohbat Pur,28.4265709754292,68.7477385515107,Raheem Bakhsh Kandrani,Sohbat Pur,2.31
GBHS MURID BAROHI,Sohbat Pur,28.4265709754292,68.7477385515107,Darya khan gajani/Arbab Pandrani,Sohbat Pur,9.41
GBHS MURID BAROHI,Sohbat Pur,28.4265709754292,68.7477385515107,Goth Gul Sher Kandrani,Sohbat Pur,6.62
GBPS MUHAMMAD ISMAIL KANRANI,Sohbat Pur,28.4832162787735,68.7151113131007,Raheem Bakhsh Kandrani,Sohbat Pur,5.6
GBPS MUHAMMAD ISMAIL KANRANI,Sohbat Pur,28.4832162787735,68.7151113131007,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,4.64
GBPS MUHAMMAD ISMAIL KANRANI,Sohbat Pur,28.4832162787735,68.7151113131007,Goth Gul Sher Kandrani,Sohbat Pur,4.54
GBPS WANDH LASHARI,Sohbat Pur,28.4943270431133,68.6864263161596,Raheem Bakhsh Kandrani,Sohbat Pur,7.75
GBPS WANDH LASHARI,Sohbat Pur,28.4943270431133,68.6864263161596,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,2.17
GBPS WANDH LASHARI,Sohbat Pur,28.4943270431133,68.6864263161596,Akbar khayazai,Sohbat Pur,9.18
GBPS WANDH LASHARI,Sohbat Pur,28.4943270431133,68.6864263161596,Goth Gul Sher Kandrani,Sohbat Pur,7.42
GBPS DATA KHAN KANRANI,Sohbat Pur,28.50550332,68.70036041,Raheem Bakhsh Kandrani,Sohbat Pur,8.35
GBPS DATA KHAN KANRANI,Sohbat Pur,28.50550332,68.70036041,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,1.96
GBPS DATA KHAN KANRANI,Sohbat Pur,28.50550332,68.70036041,Akbar khayazai,Sohbat Pur,9.87
GBPS DATA KHAN KANRANI,Sohbat Pur,28.50550332,68.70036041,Goth Gul Sher Kandrani,Sohbat Pur,6.4
GBPS SHAH PASAND KANRANI,Sohbat Pur,28.50291984,68.69530264,Raheem Bakhsh Kandrani,Sohbat Pur,8.24
GBPS SHAH PASAND KANRANI,Sohbat Pur,28.50291984,68.69530264,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,1.72
GBPS SHAH PASAND KANRANI,Sohbat Pur,28.50291984,68.69530264,Akbar khayazai,Sohbat Pur,9.52
GBPS SHAH PASAND KANRANI,Sohbat Pur,28.50291984,68.69530264,Goth Gul Sher Kandrani,Sohbat Pur,6.77
GBMIDS IMAM BAKHSH KANRANI,Sohbat Pur,28.5065252178014,68.7340780051712,Raheem Bakhsh Kandrani,Sohbat Pur,8.13
GBMIDS IMAM BAKHSH KANRANI,Sohbat Pur,28.5065252178014,68.7340780051712,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,5.1
GBMIDS IMAM BAKHSH KANRANI,Sohbat Pur,28.5065252178014,68.7340780051712,Goth Gul Sher Kandrani,Sohbat Pur,3.58
GBPS RAHIM PUR,Sohbat Pur,28.4966490115829,68.7049776690226,Raheem Bakhsh Kandrani,Sohbat Pur,7.28
GBPS RAHIM PUR,Sohbat Pur,28.4966490115829,68.7049776690226,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,2.89
GBPS RAHIM PUR,Sohbat Pur,28.4966490115829,68.7049776690226,Goth Gul Sher Kandrani,Sohbat Pur,5.68
GBPS ABDUL SATTAR,Sohbat Pur,28.49029442,68.72533593,Raheem Bakhsh Kandrani,Sohbat Pur,6.29
GBPS ABDUL SATTAR,Sohbat Pur,28.49029442,68.72533593,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,4.92
GBPS ABDUL SATTAR,Sohbat Pur,28.49029442,68.72533593,Goth Gul Sher Kandrani,Sohbat Pur,3.59
GBHS MANJHI PUR,Sohbat Pur,28.4272095673949,68.6744714194572,Raheem Bakhsh Kandrani,Sohbat Pur,5.05
GBHS MANJHI PUR,Sohbat Pur,28.4272095673949,68.6744714194572,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,9.61
GGPS DHANI BAKHSH KANRANI,Sohbat Pur,28.48673451,68.7289855,Raheem Bakhsh Kandrani,Sohbat Pur,5.9
GGPS DHANI BAKHSH KANRANI,Sohbat Pur,28.48673451,68.7289855,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,5.43
GGPS DHANI BAKHSH KANRANI,Sohbat Pur,28.48673451,68.7289855,Goth Gul Sher Kandrani,Sohbat Pur,3.19
GBPS HINDU MUHALLAH MANJHI PUR,Sohbat Pur,28.428327350086,68.6714131641662,Raheem Bakhsh Kandrani,Sohbat Pur,5.33
GBPS HINDU MUHALLAH MANJHI PUR,Sohbat Pur,28.428327350086,68.6714131641662,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,9.52
GBPS MANJHI PUR,Sohbat Pur,28.4272011484513,68.6723887602688,Raheem Bakhsh Kandrani,Sohbat Pur,5.26
GBPS MANJHI PUR,Sohbat Pur,28.4272011484513,68.6723887602688,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,9.63
GBPS DOULAT PUR,Sohbat Pur,28.4488371910062,68.6572989422279,Raheem Bakhsh Kandrani,Sohbat Pur,6.9
