Government_School,Government_District,Government_Latitude,Government_Longitude,BEF_School,BEF_District,Distance_KM
GBMIDS SASSAN MANNA,Ziarat,30.4279275903952,67.7759659080728,Shina Khezai,Ziarat,7.1
GBMIDS SASSAN MANNA,Ziarat,30.4279275903952,67.7759659080728,Killi shanglez,Ziarat,7.11
GBMIDS SASSAN MANNA,Ziarat,30.4279275903952,67.7759659080728,Matazai,Ziarat,7.1
GBPS SHARQUI SASSAN MANA,Ziarat,30.4360194991056,67.766735128929,Shina Khezai,Ziarat,7.22
GBPS SHARQUI SASSAN MANA,Ziarat,30.4360194991056,67.766735128929,Killi shanglez,Ziarat,7.23
GBPS SHARQUI SASSAN MANA,Ziarat,30.4360194991056,67.766735128929,Matazai,Ziarat,7.22
GBHS MASORY MANA,Ziarat,30.4691457626936,67.7310796967627,Shina Khezai,Ziarat,9.63
GBHS MASORY MANA,Ziarat,30.4691457626936,67.7310796967627,Killi shanglez,Ziarat,9.64
GBHS MASORY MANA,Ziarat,30.4691457626936,67.7310796967627,Matazai,Ziarat,9.63
GBPS GHARAT MANA,Ziarat,30.4613931832716,67.744262101073,Shina Khezai,Ziarat,8.96
GBPS GHARAT MANA,Ziarat,30.4613931832716,67.744262101073,Killi shanglez,Ziarat,8.97
GBPS GHARAT MANA,Ziarat,30.4613931832716,67.744262101073,Matazai,Ziarat,8.96
GBPS GHARAT MANA,Ziarat,30.4592842265713,67.7380756894667,Shina Khezai,Ziarat,8.62
GBPS GHARAT MANA,Ziarat,30.4592842265713,67.7380756894667,Killi shanglez,Ziarat,8.63
GBPS GHARAT MANA,Ziarat,30.4592842265713,67.7380756894667,Matazai,Ziarat,8.62
GBPS MALKANA,Ziarat,30.4615520794456,67.7348206461813,Shina Khezai,Ziarat,8.82
GBPS MALKANA,Ziarat,30.4615520794456,67.7348206461813,Killi shanglez,Ziarat,8.83
GBPS MALKANA,Ziarat,30.4615520794456,67.7348206461813,Matazai,Ziarat,8.83
GBPS AHMED ABAD MANA,Ziarat,30.4721902602562,67.7186468927858,Shina Khezai,Ziarat,9.95
GBPS AHMED ABAD MANA,Ziarat,30.4721902602562,67.7186468927858,Killi shanglez,Ziarat,9.96
GBPS AHMED ABAD MANA,Ziarat,30.4721902602562,67.7186468927858,Matazai,Ziarat,9.96
GBPS KOZ KARAIZ MANA,Ziarat,30.468181435994,67.726262034411,Shina Khezai,Ziarat,9.5
GBPS KOZ KARAIZ MANA,Ziarat,30.468181435994,67.726262034411,Killi shanglez,Ziarat,9.51
GBPS KOZ KARAIZ MANA,Ziarat,30.468181435994,67.726262034411,Matazai,Ziarat,9.5
GBPS KOZ KARAIZ MANA,Ziarat,30.4716376320148,67.7232330787135,Shina Khezai,Ziarat,9.88
GBPS KOZ KARAIZ MANA,Ziarat,30.4716376320148,67.7232330787135,Killi shanglez,Ziarat,9.89
GBPS KOZ KARAIZ MANA,Ziarat,30.4716376320148,67.7232330787135,Matazai,Ziarat,9.88
GBMIDS SASSNAK MANA,Ziarat,30.4802748664046,67.7860088975649,Killi Lungluna Sur Ghundai,Loralai,9.95
GBPS KILLI YAR MUHAMMAD SASSNAK MANA,Ziarat,30.4800386905249,67.7828428366608,Killi Lungluna Sur Ghundai,Loralai,9.88
GBPS SOORY MANA,Ziarat,30.4671114383877,67.7457224585184,Shina Khezai,Ziarat,9.61
GBPS SOORY MANA,Ziarat,30.4671114383877,67.7457224585184,Killi shanglez,Ziarat,9.62
GBPS SOORY MANA,Ziarat,30.4671114383877,67.7457224585184,Matazai,Ziarat,9.61
GBPS SHARQI ZARGI,Ziarat,30.5007883079718,67.6922983899336,Killi Lungluna Sur Ghundai,Loralai,9.2
GBPS PONGA SARANG ZAI,Ziarat,30.3842128567427,67.723233030409,Shina Khezai,Ziarat,0.2
GBPS PONGA SARANG ZAI,Ziarat,30.3842128567427,67.723233030409,Killi shanglez,Ziarat,0.2
GBPS PONGA SARANG ZAI,Ziarat,30.3842128567427,67.723233030409,Matazai,Ziarat,0.2
GBPS WACH GHOSKI,Ziarat,30.3835236130275,67.7475664596727,Shina Khezai,Ziarat,2.28
GBPS WACH GHOSKI,Ziarat,30.3835236130275,67.7475664596727,Killi shanglez,Ziarat,2.29
GBPS WACH GHOSKI,Ziarat,30.3835236130275,67.7475664596727,Matazai,Ziarat,2.28
GBPS SANDEMAN TANGI,Ziarat,30.4012998684845,67.7314383055288,Shina Khezai,Ziarat,2.2
GBPS SANDEMAN TANGI,Ziarat,30.4012998684845,67.7314383055288,Killi shanglez,Ziarat,2.21
GBPS SANDEMAN TANGI,Ziarat,30.4012998684845,67.7314383055288,Matazai,Ziarat,2.21
GBPS WAZAY SAR SANDEMAN TANGI,Ziarat,30.3976645273856,67.7311605493107,Shina Khezai,Ziarat,1.82
GBPS WAZAY SAR SANDEMAN TANGI,Ziarat,30.3976645273856,67.7311605493107,Killi shanglez,Ziarat,1.83
GBPS WAZAY SAR SANDEMAN TANGI,Ziarat,30.3976645273856,67.7311605493107,Matazai,Ziarat,1.82
GBPS  MALIK NADIR KHAN,Ziarat,30.3975950764365,67.7304361938938,Shina Khezai,Ziarat,1.79
GBPS  MALIK NADIR KHAN,Ziarat,30.3975950764365,67.7304361938938,Killi shanglez,Ziarat,1.79
GBPS  MALIK NADIR KHAN,Ziarat,30.3975950764365,67.7304361938938,Matazai,Ziarat,1.79
GGMIDS SANDEMAN TANGI,Ziarat,30.3900056220471,67.7198541238222,Shina Khezai,Ziarat,0.91
GGMIDS SANDEMAN TANGI,Ziarat,30.3900056220471,67.7198541238222,Killi shanglez,Ziarat,0.92
GGMIDS SANDEMAN TANGI,Ziarat,30.3900056220471,67.7198541238222,Matazai,Ziarat,0.92
