Target_BEMIS_Code,SchoolName,District,CurrentLevel,RecommendedProgression,Gender,Priority,Target_School_Latitude,Target_School_Longitude,Total_Progression_Schools_Found,Analysis_Message,Nearest_Progression_School,Nearest_Progression_BEMIS_Code,Distance_to_Nearest_KM,Progression_School_District
10645,GBPS MIR HAJI REHIMKANI,KOHLU,Primary,Middle,Boys,Standard,69.1554466666666,29.8384183333333,3,Found 3 gender-matching Middle schools within 5.0km,GBMIDS KILLI YAAQOOB KHAN MAHBATANI BHORI,18189,0.81,KOHLU
10678,GGMIDS  KOHEE KHAN NOTEZAI,CHAGHI,Middle,High,Girls,Standard,64.4092289124,28.894471434209,6,Found 6 gender-matching High schools within 5.0km,GGHS KHUDA-I-RAHEEM,6800,0.82,CHAGHI
10778,GGPS  SHAH MUHAMMAD,NOSHKI,Primary,Middle,Girls,Standard,66.10663673,29.57133487,2,Found 2 gender-matching Middle schools within 5.0km,GGMIDS HAJI AZAD KHA,10794,3.09,NOSHKI
10990,GGMIDS SHER MUHAMMAD NICHARI,NASEER ABAD,Middle,High,Girls,Standard,68.21009,28.5481916666666,2,Found 2 gender-matching High schools within 5.0km,GGHS ABDUL WAHAB SOOMRA,8820,1.09,NASEER ABAD
11194,GBPS MADRASSA MUFTA-UL-ALOOM,ZHOB,Primary,Middle,Boys,Standard,69.4768699999999,31.346805,5,Found 5 gender-matching Middle schools within 5.0km,GBMIDS DAWAL GADH,10560,1.43,SHERANI
11201,GGMIDS SHABOZAI,ZHOB,Middle,High,Girls,Standard,69.4348269841462,31.2805068313827,7,Found 7 gender-matching High schools within 5.0km,GGHS APPOZAI ZHOB,18041,2.17,ZHOB
11232,GGMIDS MUHAMMAD KHAIL PANJPAI,QUETTA,Middle,High,Girls,Standard,66.5741927052898,30.0067679005472,0,No gender-matching High schools within 5.0km,,,,
11307,GGMIDS MUHALLAH ARAIN,JHAL MAGSI,Middle,High,Girls,Standard,67.4856916666666,28.6157633333333,3,Found 3 gender-matching High schools within 5.0km,GGHS GANDAWAH,7270,0.18,JHAL MAGSI
11417,GGPS NIMKI ALLA-ABAD,DUKI,Primary,Middle,Girls,Standard,68.8982300861654,30.0600547566732,0,No gender-matching Middle schools within 5.0km,,,,
11442,GGPS NEW BAWAR,LORALAI,Primary,Middle,Girls,Standard,68.5503557344495,30.400010182759,2,Found 2 gender-matching Middle schools within 5.0km,GGMIDS  DADOO CHEENA PATHAN  KOT,4319,3.12,LORALAI
11518,GGMIDS QADAR ABAD TOWN,KHARAN,Middle,High,Girls,Standard,65.4087116666666,28.5780433333333,3,Found 3 gender-matching High schools within 5.0km,GGHS YASEEN ABAD,17590,0.62,KHARAN
11555,GGMIDS GHULAM MUHAMMAD SARPARA,NASEER ABAD,Middle,High,Girls,Standard,68.1276433333333,28.488235,2,Found 2 gender-matching High schools within 5.0km,GGHS HAJI KHAN JATAK,9152,4.31,NASEER ABAD
11571,GGMIDS ISHAQUE GOTH WINDER,LASBELA,Middle,High,Girls,Standard,66.6751783333333,25.4120683333333,1,Found 1 gender-matching High schools within 5.0km,GGHS RANA BITT,11575,1.46,LASBELA
11577,GGMIDS JAM YOUSAF COLONY,LASBELA,Middle,High,Girls,Standard,66.8800582377242,25.0444005207145,1,Found 1 gender-matching High schools within 5.0km,GGHS AKRAM COLONY,13231,0.87,LASBELA
11855,GBPS ANWAR ABAD SUNNI,KHUZDAR,Primary,Middle,Boys,Standard,66.6128116666666,27.85542,3,Found 3 gender-matching Middle schools within 5.0km,GBMIDS MURAD ABAD KHUZDAR,9522,1.32,KHUZDAR
11957,GGPS HAFIZ ROSHAN DIN,SOHBAT PUR,Primary,Middle,Girls,Standard,68.5154529322881,28.6358234715914,1,Found 1 gender-matching Middle schools within 5.0km,GGMIDS NASAR UD DIN KHALANI,11366,0.82,SOHBAT PUR
12012,GBMIDS KILLI MUSA KHAN NASAR BAWAR,LORALAI,Middle,High,Boys,Standard,68.5573,30.3692766666666,8,Found 8 gender-matching High schools within 5.0km,GBHS PATHAN KOTE QADEEM,4278,1.51,LORALAI
12094,GBPS KILLI MALIK NAZREY SHAMOZAI,MUSAKHEL,Primary,Middle,Boys,Standard,69.946956150865,31.1642513154574,0,No Middle schools within 5.0km,,,,
12421,GGPS MUHAMMAD AZEEM MAGSI,JAFER ABAD,Primary,Middle,Girls,Standard,68.3994910275856,28.503677180329,3,Found 3 gender-matching Middle schools within 5.0km,GGMIDS HAJI ABDUL MAJEED KHOSA,10166,2.45,SOHBAT PUR
12506,GBPS BASTI NALA (KILLI M BAKHSH),SIBI,Primary,Middle,Boys,Standard,67.9982365177978,29.0091611339927,0,No Middle schools within 5.0km,,,,
12702,GBPS HUMAYUN JOGEZAI,KILLA SAIFULLAH,Primary,Middle,Boys,Standard,68.2739700096847,30.7245010512823,0,No gender-matching Middle schools within 5.0km,,,,
12726,GGCMPS NEW KAHAN QUETTA,QUETTA,Middle,High,Girls,Standard,66.9296966666666,30.0896283333333,6,Found 6 gender-matching High schools within 5.0km,GGHS SONA KHAN KASI ABAD MASTUNG ROAD,3471,1.88,QUETTA
12986,GGMIDS KILLI MENGAL ABAD LIZO,KHUZDAR,Middle,High,Girls,Standard,66.6201735796779,27.8008151731867,7,Found 7 gender-matching High schools within 5.0km,GGHS KHATAN,3672,0.58,KHUZDAR
13021,GBPS ADIL ABAD,SHERANI,Primary,Middle,Boys,Standard,69.8506078372271,31.5096262100008,3,Found 3 gender-matching Middle schools within 5.0km,GBMIDS SORE LAKAI BAIK,4560,1.38,SHERANI
