SchoolName,District,CurrentLevel,RecommendedProgression,Gender,Priority,Target_School_Latitude,Target_School_Longitude,Total_Progression_Schools_Found,Analysis_Message,Nearest_Progression_School,Distance_to_Nearest_KM,Progression_School_District
GBPS PATHER COLONY.,LASBELA,Primary,Middle,Boys,Standard,66.8516383333333,25.05222,7,Found 7 Middle schools within 6.0km,GGMIDS PATHAR COLONY,0.16,LASBELA
GBPS HAJI IBRAHIM SHEIKH.,LASBELA,Primary,Middle,Boys,Standard,66.9156888359028,25.0402352278597,9,Found 9 Middle schools within 6.0km,GGMIDS HAJI IBRAHIM SHEIKH,0.04,LASBELA
GBPS GOTH HASHOO KHAN.,LASBELA,Primary,Middle,Boys,Standard,66.9706301386506,25.0785378072847,3,Found 3 Middle schools within 6.0km,GBMIDS KOLWAI,2.68,LASBELA
GGMIDS MADAN WALA,LASBELA,Middle,High,Girls,Standard,66.30614738,26.22275547,12,Found 12 High schools within 6.0km,GBHS BELA,0.21,LASBELA
GBPS WINGOIE,LASBELA,Primary,Middle,Boys,Standard,66.628765,25.5935716666666,1,Found 1 Middle schools within 6.0km,GBMIDS KEHNWARI,5.59,LASBELA
GBPS GOMAZGI,NOSHKI,Primary,Middle,Boys,Standard,65.9249935212531,29.3850682270653,5,Found 5 Middle schools within 6.0km,GGMIDS KILLI GOMAZGI,0.08,NOSHKI
GBPS MEHMOOD ZAI,NOSHKI,Primary,Middle,Boys,Standard,65.7600266666666,29.7118349999999,0,Found 0 Middle schools within 6.0km,,,
GBMIDS SAR MAL,NOSHKI,Middle,High,Boys,Standard,65.8126433333333,29.2759616666666,0,Found 0 High schools within 6.0km,,,
GBPS REHMAN ZAI,NOSHKI,Primary,Middle,Boys,Standard,65.685725,29.1801083333333,0,Found 0 Middle schools within 6.0km,,,
GBPS ABDUL SATTAR GOTH,AWARAN,Primary,Middle,Boys,Standard,65.68481677,26.45421655,1,Found 1 Middle schools within 6.0km,GBMIDS GAJRO,4.62,AWARAN
GBMIDS HAJI SHAHER,AWARAN,Middle,High,Boys,Standard,65.54875046,26.30252653,0,Found 0 High schools within 6.0km,,,
GBMIDS BAZAG,AWARAN,Middle,High,Boys,Standard,65.59841006,26.3296969,3,Found 3 High schools within 6.0km,GBHS CAMP JHAO,3.03,AWARAN
GBHS NOKJO,AWARAN,High,Higher Secondary,Boys,Standard,65.7029133333333,27.2264666666666,0,Found 0 Higher Secondary schools within 6.0km,,,
GBMIDS NONDRA PAILAR,AWARAN,Middle,High,Boys,Standard,65.75478533,26.88445827,1,Found 1 High schools within 6.0km,GBHS PILLAR JHAOO,3.19,AWARAN
GBMIDS SUIMAN,BARKHAN,Middle,High,Boys,Standard,69.5386938471347,29.8436185112223,6,Found 6 High schools within 6.0km,GGHS DODA KHAN QASMANI,1.97,BARKHAN
GBMIDS TOTA DHAMANI,BARKHAN,Middle,High,Boys,Standard,69.4762000534683,29.8413524217903,5,Found 5 High schools within 6.0km,GBHS LOHMA ZAREEN,2.52,BARKHAN
