BemisCode,SchoolName,District,Tehsil,SubTehsil,UC,WardName,WardNo,VillageName,NA,PA,ClusterBemiscode,ClusterName,ClusterDDOCode,SchoolContactNo,ClusterFeedingSchoolsPrimary,ClusterFeedingSchoolsMiddle,Location,Zone,Shift,Gender,SchoolLevel,FunctionalStatus,ReasonOfNonFunctional,DisableStudentsInSchool,IfYesThenMentionFacilities,RampforStudentsOrTeachers,Building,SchoolOwnedBy,BuildingStructure,BuildingCondition,SpaceForNewRooms,NoOfRoomsWithWindowsAndVantilation,ProperSeverageSystem,WaterFacilityInToilets,BoundaryWall,BoundaryWallStructure,BoundaryWallCondition,PlayGround,ElectricityInArea,ElectricityInSchool,IfYesThenNametheSourceElectricity,IfNoThenGiveTheDistanceOfNearestPoll,GasInArea,GasInSchool,IfYesThenNametheSourceGas,GovtDrinkingWaterScheme,DrinkingWaterAtSchool,SourceOfWater,WaterTank,IfNoThenGiveTheDistanceOfNearestWaterSource,TelephoneAvailabe,FunctionStatusTelephone,ClosedReasonTelephone,InternetAvailabe,FunctionStatusInternet,ClosedReasonInternet,ScienceLab,FunctionStatusScienceLab,ClosedReasonScienceLab,ComputerLab,LibraryAvailable,CleaningResponsibility,WashbasinAvailable,WaterforWashBasin,SoapForWashBasin,CleaningCycleOfWashBasin,TeacherUsesTeachingMeterialOnHealth,MajorDiseaseCauseForAbsentism,FirstaidKit,TrainingOnFirstAidKit,InspectionOfCleaning,SeprateRoomForECE,FullTimeTeacherForECE,TrendExtraCracularActivity,Activity1,AudioAndVideoEquipment,TeacherUsesAudioAndVideoEquipment,TrainingOnMHMKits,MHMKitsAtSchool,PTSMC,PTSMCParticipatedInAnyActivityCurrentYear,NumberOfMeetingsConducted,MeetingRecordesAvailable,ChildOfPTSMCMembersAreEnrolled,AnySDPFormPTSMCLast3Years,ExaminationHall,NumberOfVisitByEducationalManager,Kacha Room,Pakka Room,Kacha HMR,Pakka HMR,Kacha Clerk Office,Pakka Clerk Office,Kacha Hall,Pakka Hall,Kacha Staff Room,Pakka Staff Room,Kacha Guard Room,Pakka Guard Room,Kacha Toilet,Pakka Toilet,KachaSportsRoom,PakkaSportsRoom,KachaResourceCenter,PakkaResourceCenter,KBSch,KBSt,KGSch,KGSt,PBSch,PBSt,PGSch,PGSt,2BSch,2BSt,2GSch,2GSt,3BSch,3BSt,3GSch,3GSt,4BSch,4BSt,4GSch,4GSt,5BSch,5BSt,5GSch,5GSt,6BSch,6BSt,6GSch,6GSt,7BSch,7BSt,7GSch,7GSt,8BSch,8BSt,8GSch,8GSt,9BSch,9BSt,9GSch,9GSt,10BSch,10BSt,10GSch,10GSt,11BSch,11BSt,11GSch,11GSt,12BSch,12BSt,12GSch,12GSt,TotalSchoolProfileStudents,TotalStudentProfileEntered,SencTeaching,AppTeaching,Teaching Male,Teaching Female,TotalTeachingStaff,SencNonTeaching,AppNonTeaching,Nonteaching Male,Nonteaching Female,TotalNonTeachingStaff,Source,X Cod,Y Cod,_xCord,_yCord
5574,GGPS DUMBRI,SOHBAT PUR,SOHBAT PUR,0,KHUDAIDAD,00,00,DAMBRI,261,15,05611,GGHHS SOHBAT PUR,,NILL,,,Rural,Summar,,Girls,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,2,No,No,Yes,Kacha,In-Complete,No,No,No,,00|km,No,No,,No,No,Naher,No,50|m,,,,,,,,,,,,Students,No,No,No,Weekly,No,Others,No,No,No,No,No,No,,No,No,,,Yes,Yes,,No,No,No,,1,0,7,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,0,2,2,,,0,0,0,EMIS,28.4865,68.72966,28.4600027251161,68.5119720237082
5602,GBPS JUMA KHAN,SOHBAT PUR,SOHBAT PUR,MANJHIPUR,M.C. SOHBAT PUR,NA,0,GOHT JUMA KHAN KHOSA,261,15,05251,GBHS MANJHI PUR,,00000000000,,,Rural,Summar,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Dangerous Condition,Yes,2,Yes,No,Yes,Pakka,Need Repair,No,Yes,No,,600|m,Yes,No,,No,No,Nothing,No,400|m,,,,,,,,,,,,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,Yes,Sports,No,No,,,Yes,Yes,No,Yes,Yes,Yes,,5,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,8,2,2,6,2,0,0,6,12,0,0,7,7,0,0,5,6,0,0,6,6,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,52,43,2,1,,,,,,,,,EMIS,28.43056,68.57558,28.4582404572386,68.5992506509931
5638,GBPS MALGZAR KHOSA,SOHBAT PUR,SOHBAT PUR,0,NOOR PUR,0,0,GOHT MALGZAR,261,15,05308,GBHS MURAD ALI,,03413046833,,,Rural,Summar,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,1,No,No,Yes,Kacha,In-Complete,No,Yes,Yes,QESCO,0|km,No,No,,No,No,Naher,No,0|km,,,,,,,,,,,,Students,Yes,Yes,Yes,Daily,Yes,"Nazla, Zukam, Bukhar",No,No,Yes,No,No,Yes,Sports,No,No,,,Yes,Yes,No,Yes,Yes,No,,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,4,5,4,6,0,2,1,4,6,3,8,2,2,2,2,2,0,0,0,,0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,29,29,1,1,1,0,1,,,0,0,0,EMIS,28.46026,68.51271,28.43137846,68.42412855
5644,GGMIDS DARGAI,SOHBAT PUR,SOHBAT PUR,00,DIRGHI,0,0,GOHT DARGAI,261,15,05611,GGHSS SOHBAT PUR,,0,,,Rural,Summar,Single Shift,Girls,Middle,Functional,,Yes,NOT AVAILABLE,No,Yes,Educaton Department,Pakka,Dangerous Condition,Yes,12,No,No,Yes,Mix,In-Complete,Yes,Yes,Yes,QESCO,0|km,No,No,,Yes,Yes,Nalka,Yes,00|km,No,,,No,,,Yes,Non-Functional,SCINCE TEACHER NOT AVAILABLE,No,No,Students,Yes,Yes,Yes,Daily,Yes,"Nazla, Zukam, Bukhar",Yes,No,No,No,No,Yes,,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,5,0,7,0,1,0,0,0,1,0,1,0,0,0,8,0,0,0,0,0,,96,,0,,19,,0,,20,,0,,18,,0,,22,,0,,21,,0,,26,,0,,30,,0,,22,,,,,,,,,,,,,,,,,,274,0,14,12,0,13,13,3,3,2,1,3,EMIS,28.4826,68.49873,28.4818051926977,68.4968309259536
6022,GBPS REDEEG MAND,KECH,TUMP,MAND,BULLO,0,0,REDEEG  MAND,259,28,06050,GBHS BULLOW  MAND,,03215826299,,,Rural,Summar,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,3,Yes,No,Yes,Pakka,Need Repair,No,Yes,Yes,QESCO,0|km,No,No,,No,No,Nothing,Yes,15|m,,,,,,,,,,,,Teachers,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,Yes,No,No,Yes,,No,No,,,No,,,,,,,5,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,22,22,0,0,13,12,0,0,13,13,0,0,9,8,0,0,4,2,0,0,6,6,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,67,63,3,1,1,0,1,,,0,0,0,EMIS,26.11017,62.04684,26.095987296113,61.8473894611124
6032,GBMIDS DALAY SAR MAND,KECH,TUMP,MAND,BULLO,0,0,DALAY SAR MAND,259,27,06050,GBHS BULLOW  MAND,,03228195991,,,Rural,Summar,Single Shift,Co-Education,Middle,Functional,,Yes,NIL,No,Yes,Donated,Pakka,Dangerous Condition,Yes,4,No,No,No,,,No,Yes,No,QESCO,0|km,No,No,,No,No,Nothing,No,|km,No,,,No,,,No,,,No,No,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,No,No,,,No,Yes,No,No,Yes,No,No,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,3,13,10,0,0,9,9,0,0,5,8,0,0,9,5,2,1,7,3,0,0,5,8,0,3,10,0,0,0,6,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,74,60,5,5,6,0,6,2,2,0,0,0,EMIS,26.151348,62.0248848,26.1545066666666,62.0614533333333
6064,GBMIDS  GINNAH,KECH,TURBAT,TURBAT,GINNA,PUSHT BAZAR GINNAH,03,GINNAH,271,48,05973,GBHS DEGARI KAHAN,,03218097201,,,Rural,Summar,Single Shift,Boys,Middle,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,9,No,Yes,Yes,Pakka,In-Complete,Yes,Yes,Yes,QESCO,0|km,No,No,,No,Yes,Well,Yes,|km,No,,,No,,,No,,,No,No,Sweeper,Yes,Yes,Yes,Daily,Yes,Malaria,Yes,No,Yes,No,No,Yes,Sports,Yes,Yes,,,Yes,Yes,No,Yes,Yes,No,No,2,0,9,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,62,62,0,0,54,54,0,0,46,46,0,0,37,37,0,0,34,34,0,0,53,53,0,0,60,59,0,0,23,23,0,0,55,55,0,0,,0,,0,,0,,0,,0,,0,,0,,0,424,423,25,19,19,0,19,2,2,2,0,2,EMIS,26.01892,62.5577,26.0311667189683,62.9298089376545
6229,GBPS PATHER COLONY.,LASBELA,HUB,-,BAROOT,BALOCH ABAD,2,PATHER COLONY,257,21,06274,GBHS AKRAM COLONY HUB,,03007006661,,,Rural,Summar,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Satisfactory ,Yes,0,No,No,Yes,Mix,Need Repair,No,No,No,,300|m,No,No,,No,Yes,Nalka,No,1|km,,,,,,,,,,,,No One,No,No,No,Weekly,No,Others,No,No,No,No,No,Yes,,No,No,,,Yes,Yes,,No,Yes,No,,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,31,0,0,48,48,0,0,31,3,0,0,46,1,0,0,35,2,0,0,12,1,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,282,86,6,6,6,0,6,,,0,0,0,EMIS,25.05226,66.85181,25.05222,66.8516383333333
6240,GBPS HAJI IBRAHIM SHEIKH.,LASBELA,HUB,HUB,ALLAHABAD,00,00,GOTH HAJI IBRAHIM SH,272,49,06273,GBHS HUB,,03149662851,,,Rural,Summar,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,6,No,No,Yes,Pakka,Need Repair,No,Yes,Yes,Genrator,0|km,Yes,No,,No,No,Well,Yes,1|km,,,,,,,,,,,,Teachers,Yes,Yes,Yes,Daily,Yes,"Nazla, Zukam, Bukhar",No,No,Yes,No,No,Yes,Sports,No,No,,,No,Yes,,Yes,Yes,Yes,,1,0,7,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,80,75,0,0,27,20,0,0,34,33,0,0,21,22,0,0,14,12,0,0,9,9,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,185,171,5,3,3,0,3,,,0,0,0,EMIS,25.04005,66.91575,25.0402352278597,66.9156888359028
6264,GBPS GOTH HASHOO KHAN.,LASBELA,HUB,HUB,SAKRAN,HAISHO GOTH,02,GOTH HASHOO KHAN,272,50,06269,GBHS SAKRAN,,03364478486,,,Rural,Summar,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,8,No,No,Yes,Mix,Need Repair,Yes,Yes,No,,300|m,No,No,,No,No,Nothing,No,15|m,,,,,,,,,,,,Students,Yes,Yes,Yes,Daily,Yes,"Nazla, Zukam, Bukhar",No,No,Yes,No,No,Yes,Sports,No,No,,,Yes,Yes,Yes,Yes,Yes,No,,2,0,6,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,43,18,28,18,23,16,13,7,7,19,7,11,13,13,8,7,15,16,5,4,7,12,6,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,175,146,3,1,2,0,2,,,0,0,0,EMIS,25.07851,66.97069,25.0785378072847,66.9706301386506
