BemisCode,SchoolName,District,Tehsil,SubTehsil,UC,WardName,WardNo,VillageName,NA,PA,ClusterBemiscode,ClusterName,ClusterDDOCode,SchoolContactNo,ClusterFeedingSchoolsPrimary,ClusterFeedingSchoolsMiddle,Location,Zone,Shift,Gender,SchoolLevel,FunctionalStatus,ReasonOfNonFunctional,DisableStudentsInSchool,IfYesThenMentionFacilities,RampforStudentsOrTeachers,Building,SchoolOwnedBy,BuildingStructure,BuildingCondition,SpaceForNewRooms,NoOfRoomsWithWindowsAndVantilation,ProperSeverageSystem,WaterFacilityInToilets,BoundaryWall,BoundaryWallStructure,BoundaryWallCondition,PlayGround,ElectricityInArea,ElectricityInSchool,IfYesThenNametheSourceElectricity,IfNoThenGiveTheDistanceOfNearestPoll,GasInArea,GasInSchool,IfYesThenNametheSourceGas,GovtDrinkingWaterScheme,DrinkingWaterAtSchool,SourceOfWater,WaterTank,IfNoThenGiveTheDistanceOfNearestWaterSource,TelephoneAvailabe,FunctionStatusTelephone,ClosedReasonTelephone,InternetAvailabe,FunctionStatusInternet,ClosedReasonInternet,ScienceLab,FunctionStatusScienceLab,ClosedReasonScienceLab,ComputerLab,LibraryAvailable,CleaningResponsibility,WashbasinAvailable,WaterforWashBasin,SoapForWashBasin,CleaningCycleOfWashBasin,TeacherUsesTeachingMeterialOnHealth,MajorDiseaseCauseForAbsentism,FirstaidKit,TrainingOnFirstAidKit,InspectionOfCleaning,SeprateRoomForECE,FullTimeTeacherForECE,TrendExtraCracularActivity,Activity1,AudioAndVideoEquipment,TeacherUsesAudioAndVideoEquipment,TrainingOnMHMKits,MHMKitsAtSchool,PTSMC,PTSMCParticipatedInAnyActivityCurrentYear,NumberOfMeetingsConducted,MeetingRecordesAvailable,ChildOfPTSMCMembersAreEnrolled,AnySDPFormPTSMCLast3Years,ExaminationHall,NumberOfVisitByEducationalManager,Kacha Room,Pakka Room,Kacha HMR,Pakka HMR,Kacha Clerk Office,Pakka Clerk Office,Kacha Hall,Pakka Hall,Kacha Staff Room,Pakka Staff Room,Kacha Guard Room,Pakka Guard Room,Kacha Toilet,Pakka Toilet,KachaSportsRoom,PakkaSportsRoom,KachaResourceCenter,PakkaResourceCenter,KBSch,KBSt,KGSch,KGSt,PBSch,PBSt,PGSch,PGSt,2BSch,2BSt,2GSch,2GSt,3BSch,3BSt,3GSch,3GSt,4BSch,4BSt,4GSch,4GSt,5BSch,5BSt,5GSch,5GSt,6BSch,6BSt,6GSch,6GSt,7BSch,7BSt,7GSch,7GSt,8BSch,8BSt,8GSch,8GSt,9BSch,9BSt,9GSch,9GSt,10BSch,10BSt,10GSch,10GSt,11BSch,11BSt,11GSch,11GSt,12BSch,12BSt,12GSch,12GSt,TotalSchoolProfileStudents,TotalStudentProfileEntered,SencTeaching,AppTeaching,Teaching Male,Teaching Female,TotalTeachingStaff,SencNonTeaching,AppNonTeaching,Nonteaching Male,Nonteaching Female,TotalNonTeachingStaff,Source,X Cod,Y Cod,_xCord,_yCord
6403,GGMIDS MADAN WALA,LASBELA,BELA,bela,M.C. BELA,0,0,MADAN WALA,0,0,06421,GGHS BELA,,03322622992,,,Urban,Summar,Single Shift,Girls,Middle,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,8,Yes,No,Yes,Pakka,Need Repair,Yes,Yes,No,,00|km,No,No,,Yes,Yes,Tubewell,Yes,|km,No,,,No,,,No,,,No,No,PTSMC,Yes,Yes,Yes,Daily,Yes,"Nazla, Zukam, Bukhar",No,No,No,Yes,No,Yes,,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,1,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,4,,57,,9,,63,,1,,39,,1,,45,,0,,36,,0,,27,,0,,30,,0,,24,,0,,28,,0,,0,,0,,0,,0,,0,,0,,0,0,364,9,9,0,10,10,1,0,0,0,0,EMIS,26.22265,66.30626,26.22275547,66.30614738
6572,GBPS WINGOIE,LASBELA,UTHAL,-,KHENWARI,2,0,WINGOIE,272,50,06596,GBHS BOHAR KHENWARI,,03123325091,,,Rural,Summar,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,2,No,No,No,,,No,No,No,,28|km,No,No,,Yes,Yes,Well,No,300|m,,,,,,,,,,,,Students,No,No,No,Weekly,No,Malaria,No,No,Yes,No,No,Yes,Sports,No,No,,,Yes,Yes,Yes,Yes,Yes,No,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,,0,,2,,0,,2,,1,,8,,4,,7,,4,,7,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,40,2,1,2,0,2,,,0,0,0,EMIS,25.59361,66.62891,25.5935716666666,66.628765
6640,GBPS GOMAZGI,NOSHKI,NOSHKI,NUSHKI,AHMED WAL,GOMAZGI,08,GOMAZGI,260,34,06640,GBHS AHMED WAL,,0438100860,,,Rural,Summar,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Donated,Pakka,Need Repair,Yes,5,No,Yes,No,,,Yes,No,Yes,Genrator,0|km,No,No,,Yes,Yes,Nalka,Yes,3|km,,,,,,,,,,,,Students,Yes,Yes,Yes,Daily,Yes,Ghazayat Ki Kami,No,No,Yes,No,No,Yes,Sports,Yes,Yes,,,Yes,No,,Yes,Yes,No,,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,30,0,0,12,12,0,0,14,14,0,0,18,18,0,0,22,22,0,0,13,37,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,109,133,4,4,4,0,4,,,0,0,0,EMIS,29.38501,65.92509,29.3850682270653,65.9249935212531
6667,GBPS MEHMOOD ZAI,NOSHKI,NOSHKI,NUSHKI,ANAM BOSTAN,MEHMOOD ZAI,2,LANDI MEHMOOD ZAI,260,34,06707,GBHS DARZI CHAH,,03458372851,,,Rural,Summar,,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,3,Yes,No,Yes,Pakka,Complete,Yes,No,No,,500|m,No,No,,No,Yes,Well,Yes,0|km,,,,,,,,,,,,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,No,No,,,Yes,,,,,,,2,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,,,,,,,,,EMIS,29.7121,65.75995,29.7118349999999,65.7600266666666
6684,GBMIDS SAR MAL,NOSHKI,NOSHKI,NUSHKI,MALL,SAIR MAL,3,KILLI SAR MAL,260,34,06605,GBHS ROSTUM MALL,,03311895324,,,Rural,Summar,Single Shift,Boys,Middle,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,7,Yes,Yes,Yes,Pakka,In-Complete,Yes,No,No,,2|km,No,No,,No,Yes,Well,No,2|km,No,,,No,,,No,,,No,No,Sweeper,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,No,No,,,Yes,,,,,,No,2,0,6,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,19,20,18,17,31,32,17,16,16,16,15,15,24,24,4,4,20,19,9,9,20,20,7,7,26,25,6,6,12,11,4,5,18,17,6,7,,0,,0,,0,,0,,0,,0,,0,,0,272,270,7,5,5,0,5,3,3,3,0,3,EMIS,29.27779,65.81206,29.2759616666666,65.8126433333333
6717,GBPS REHMAN ZAI,NOSHKI,NOSHKI,NUSHKI,MALL,MAKAKI SOUTH 1,6,KILLI RAHMAN ZAI,260,34,06605,GBHS KILLI RUSTOM MA,,03482990292,,,Rural,Summar,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Kacha,Satisfactory ,Yes,6,Yes,No,No,,,No,No,No,,500|m,No,No,Gas Cylendar,No,Yes,Nalka,Yes,100|m,,,,,,,,,,,,Students,Yes,Yes,Yes,Daily,Yes,"Nazla, Zukam, Bukhar",No,No,No,No,No,Yes,Sports,No,No,,,Yes,No,Yes,Yes,Yes,No,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,36,39,0,0,36,38,0,1,14,19,31,26,23,23,23,21,10,9,4,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,187,186,2,1,1,0,1,,,0,0,0,EMIS,29.17984,65.68591,29.1801083333333,65.685725
6887,GBPS ABDUL SATTAR GOTH,AWARAN,JHALJAOO,jhaoo,CAMP JAHOO,SISTAGAN,80,ABDUL SATTAR GOTH,270,44,06894,GBHS LANJAR JHAO,,000,,,Rural,Summar,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Donated,Pakka,Need Repair,No,2,No,Yes,No,,,No,No,No,,000|km,No,No,,No,Yes,Well,Yes,0|km,,,,,,,,,,,,Teachers,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,Yes,No,Yes,No,Yes,,Yes,Yes,,,Yes,Yes,,Yes,No,No,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,42,,0,,28,,0,,13,,0,,10,,0,,9,,0,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,106,1,0,,,,,,,,,EMIS,26.45443,65.68497,26.45421655,65.68481677
6893,GBMIDS HAJI SHAHER,AWARAN,JHALJAOO,JHAOO,CAMP JAHOO,CAMP,75,HAJI SHAHER,270,44,08466,GBHS CAMP JHAO,,0323270264,,,Urban,Summar,Single Shift,Boys,Middle,Functional,,No,,No,Yes,Donated,Pakka,Need Repair,Yes,0,No,No,Yes,Pakka,Complete,No,No,No,,00|km,No,No,,No,No,Well,No,00|km,No,,,No,,,No,,,No,No,Sweeper,Yes,Yes,Yes,Daily,Yes,"Nazla, Zukam, Bukhar",No,No,Yes,No,No,Yes,,No,No,,,Yes,,,,Yes,No,No,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,25,3,15,0,16,16,11,8,19,4,13,7,9,23,1,12,16,18,0,9,10,15,0,13,6,22,0,13,6,10,0,2,3,3,0,0,,0,,0,,0,,0,,0,,0,,0,,0,150,178,15,8,8,0,8,2,2,2,0,2,EMIS,26.30254,65.54888,26.30252653,65.54875046
6899,GBMIDS BAZAG,AWARAN,JHALJAOO,JHAOO,CAMP JAHOO,SHANDI JHAOO,93,BAZAG,270,44,08466,GBHS CAMP JHAO,,03312201521,,,Urban,Summar,Single Shift,Boys,Middle,Functional,,No,,No,Yes,Educaton Department,Pakka,Dangerous Condition,Yes,2,No,No,No,,,No,No,No,,00|km,No,No,,No,No,Well,No,000|km,No,,,No,,,No,,,No,No,Teachers,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,No,No,,,No,,,,,,No,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,6,4,3,2,5,4,1,2,5,5,0,0,3,3,3,3,5,4,0,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,31,28,1,1,1,0,1,,,0,0,0,EMIS,26.32996,65.59845,26.3296969,65.59841006
6953,GBHS NOKJO,AWARAN,MASHKAI,MASHKAY,NOKJO,NOKJO,63,NOKJO,272,44,,,AW7054,03333516925,07,01,Urban,Summar,Single Shift,Boys,High,Functional,,No,,No,Yes,Donated,Pakka,Satisfactory ,Yes,12,Yes,No,Yes,Pakka,Need Repair,No,No,No,,24|km,No,No,,No,No,Nothing,No,1|km,No,,,No,,,No,,,No,No,Sweeper,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,Yes,No,No,Yes,Sports,Yes,Yes,,,No,No,No,Yes,Yes,No,Yes,5,0,15,0,1,0,1,0,1,0,1,0,0,0,4,0,0,0,0,,6,,0,,6,,0,,4,,0,,18,,0,,13,,0,,10,,0,,13,,0,,15,,0,,10,,0,,34,,1,,0,,0,,0,,0,,0,,0,0,130,24,9,9,0,9,7,6,6,0,6,EMIS,27.22616,65.7026,27.2264666666666,65.7029133333333
6973,GBMIDS NONDRA PAILAR,AWARAN,JHALJAOO,JHAOO,KORAK JHAOO,PAILAR KORAK,102,NONDRA PAILAR,270,44,000,GBHS PILLAR JHAOO,,00,,,Rural,Summar,Single Shift,Boys,Middle,Functional,,No,,No,Yes,Educaton Department,Pakka,Satisfactory ,Yes,0,,No,No,,,No,No,No,,000|km,No,No,,Yes,No,Well,No,00|km,No,,,No,,,No,,,No,No,Teachers,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,No,,No,No,,,No,,,,,,No,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,2,,25,,9,,4,,5,,3,,0,,14,,6,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,70,12,9,5,0,5,5,5,3,1,4,EMIS,26.88455,65.7546,26.88445827,65.75478533
7039,GBMIDS SUIMAN,BARKHAN,BARKHAN,baRKHAN,CHOHER KOT,MEHRAN SOMIN,0000,SUIMAN,259,8,GBHS LEHMA ZAREEN,GBHS LEHMA ZAREEN,,0000,,,Rural,Winter,Single Shift,Boys,Middle,Functional,,Yes,0000,No,Yes,Educaton Department,Pakka,Need Repair,Yes,9,Yes,Yes,Yes,Pakka,Complete,No,Yes,No,,500|m,No,No,,Yes,Yes,Well,Yes,000|m,No,,,No,,,No,,,No,No,No One,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,Yes,No,No,No,,No,No,,,Yes,Yes,No,No,Yes,No,No,4,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,14,0,0,9,9,0,0,20,20,0,0,4,4,0,0,15,15,0,0,8,8,0,0,12,12,0,0,6,6,0,0,5,5,0,0,,0,,0,,0,,0,,0,,0,,0,,0,94,93,11,6,8,0,8,,,0,0,0,EMIS,29.84354,69.53855,29.8436185112223,69.5386938471347
7046,GBMIDS TOTA DHAMANI,BARKHAN,BARKHAN,BARKHAN,BARKHAN,dahmani,06,TOTA DHAMANI,259,8,GBMODHS BARKHAN,GBMODHS BARKHAN,,03328099699,,,Urban,Summar,Single Shift,Boys,Middle,Functional,,Yes,0000,No,Yes,Educaton Department,Pakka,Need Repair,Yes,5,No,Yes,Yes,Pakka,Need Repair,No,No,No,,5|km,No,No,,Yes,Yes,Nothing,No,5|km,No,,,No,,,No,,,No,No,Students,Yes,Yes,Yes,Daily,Yes,"Nazla, Zukam, Bukhar",No,No,Yes,No,No,Yes,Sports,No,No,,,Yes,Yes,,Yes,Yes,Yes,No,2,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25,25,9,8,23,23,1,1,15,14,3,3,15,13,1,2,8,8,0,0,9,9,0,0,9,10,0,0,,1,,0,10,10,1,0,,0,,0,,0,,0,,0,,0,,0,,0,129,127,14,9,8,0,8,2,2,2,0,2,EMIS,29.84539,69.47735,29.8413524217903,69.4762000534683
7066,GBPS DEH GHULAM MUHAMMAD,BARKHAN,BARKHAN,Barkhan ,RAKHNI,00,00,DEH GHULAM MOHAMMAD,259,8,07721,GBHSS RAKHNI,,00,,,Rural,Winter,Single Shift,Boys,Primary,Non-Functional,Teacher not available,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,2,No,No,No,,,No,Yes,Yes,QESCO,0|km,No,No,,No,Yes,Well,No,0|km,,,,,,,,,,,,No One,No,No,No,Weekly,No,Haiza,No,No,No,No,No,Yes,,No,No,,,No,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,EMIS,30.1041,69.92919,30.1037858537724,69.9290204788422
7098,GBPS TAJ MUHAMMAD LUNDI,BARKHAN,BARKHAN,BARKHAN,RARKAN,LOUNDI BAGAO,000,TAJ MOHAMMAD LUNDI,259,8,07079,GBHS KANDHI,,03368282880,,,Rural,Winter,Single Shift,Boys,Primary,Non-Functional,Teacher not available,No,,No,Yes,Educaton Department,Kacha,Need Repair,Yes,1,No,No,No,,,No,Yes,No,,500|m,No,No,,No,No,Well,No,500|m,,,,,,,,,,,,PTSMC,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,No,Yes,,No,No,,,Yes,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,EMIS,30.17195,69.82342,30.1718711294592,69.8238624349225
7113,GBMIDS HAJI ZAREEN LOOP,BARKHAN,BARKHAN,BARKHAN,RARKAN,RARKAN,01,RARKAN,259,8,07113,GBMIDS HAJI ZAREEN LOOP,,03341234567,,,Rural,Winter,Single Shift,Boys,Middle,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,6,Yes,No,Yes,Pakka,Complete,No,Yes,No,,20|km,No,No,,Yes,No,Nothing,No,100|km,No,,,No,,,No,,,No,No,No One,Yes,Yes,Yes,Daily,Yes,Malaria,No,No,No,No,No,Yes,Sports,No,No,,,Yes,Yes,No,Yes,Yes,No,No,0,0,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,14,11,10,7,23,24,7,7,17,18,8,6,4,3,5,10,9,5,5,10,8,7,7,18,18,9,10,6,6,1,1,9,8,2,2,,0,,0,,0,,0,,0,,0,,0,,0,165,162,9,9,2,0,2,2,2,0,0,0,EMIS,30.32191,69.88931,30.3217436858404,69.889413575877
7152,GBPS QAZI MIR WAH,SIBI,LEHRI,LEHRI,TRIHAR,N/A,0,QAZI MIR WAH,253,8,07218,GBHS BASTI LOHARAN,,03313116952,,,Rural,Summar,Single Shift,Boys,Primary,Functional,,Yes,NOTHING,No,Yes,Donated,Pakka,Need Repair,Yes,2,Yes,No,No,,,Yes,Yes,No,,1|km,No,No,,No,No,Nothing,No,2|km,,,,,,,,,,,,Students,No,No,No,Weekly,No,Others,No,No,No,Yes,No,No,,No,No,,,Yes,Yes,No,Yes,Yes,No,,3,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,15,0,0,5,5,0,0,6,6,0,0,3,3,0,0,5,5,0,0,4,4,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,38,38,5,3,3,0,3,,,0,0,0,EMIS,29.15778,68.22552,29.1577581625422,68.2254439617658
7159,GBPS HINDO MUHALLAH LEHRI,SIBI,LEHRI,LEHRI,LEHRI,0,0,HINDO MOHALLAH LEHRI,253,8,07213,GBHSS LEHRI,,03327818761,,,Urban,Summar,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,2,Yes,Yes,Yes,Pakka,Need Repair,No,Yes,Yes,QESCO,0|km,Yes,No,,Yes,Yes,Nalka,Yes,|km,,,,,,,,,,,,Students,Yes,Yes,Yes,Daily,Yes,"Nazla, Zukam, Bukhar",No,No,Yes,No,No,Yes,Sports,No,No,,,Yes,Yes,No,Yes,Yes,No,,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,12,8,8,9,9,11,11,1,1,0,0,2,2,2,2,4,4,1,1,7,7,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,57,57,7,5,5,0,5,,,0,0,0,EMIS,29.18217,68.20947,29.1821482373657,68.2095526988326
7205,GBPS HINDO MUHALLAH BAKHTIAR ABAD DOMKI,SIBI,LEHRI,BAKHTIAR ABAD DOMKI,TUNIA(KATBAR SHARIF),0,0,BUKHTIARABAD DOMKI,259,7,07215,GBHS BAKHTIAR ABAD DOMKI,,03337345089,,,Rural,Summar,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,No,1,No,No,Yes,Mix,In-Complete,No,Yes,Yes,QESCO,0|km,Yes,No,,Yes,No,Nothing,No,2|km,,,,,,,,,,,,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,No,Yes,Yes,Sports,No,No,,,Yes,No,,No,Yes,No,,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0,0,22,22,0,0,12,12,0,0,12,12,0,0,8,8,0,0,6,6,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,82,81,6,7,7,0,7,,,0,0,0,EMIS,28.99003,68.01192,28.9901912883363,68.012023127104
7241,GBMIDS BASTI GOYA,KACHHI,BHAG,BHAG,BHAG,0,0,MOHLLAH GOYA,259,7,08948,GBHS Brahim KHAN ABRO,,03337864055,,,Urban,Summar,Single Shift,Boys,Middle,Functional,,No,,No,Yes,Educaton Department,Mix,Dangerous Condition,Yes,10,No,Yes,No,,,No,Yes,Yes,QESCO,0|km,Yes,No,,Yes,Yes,Naher,No,20|m,No,,,No,,,No,,,No,No,PTSMC,Yes,Yes,Yes,Daily,Yes,Others,Yes,Yes,Yes,No,No,Yes,Sports,No,No,,,Yes,Yes,Yes,Yes,Yes,Yes,No,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,102,93,4,2,50,41,0,1,39,74,0,2,35,25,2,0,31,27,0,1,40,47,0,2,74,66,0,0,51,52,0,0,65,65,0,0,,0,,0,,0,,0,,0,,0,,0,,0,493,498,17,16,18,0,18,2,2,2,0,2,EMIS,29.04275,67.81493,29.0408126912303,67.813495870064
7261,GBPS KHAIR WAH,SIBI,LEHRI,LEHRI,TUNIA(KATBAR SHARIF),0,0,KHAIR WAH,253,8,GBHSS LEHRI,GBHSS LEHRI,,03153576712,,,Urban,Summar,Single Shift,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,7,No,No,No,,,Yes,Yes,No,QESCO,0|km,No,No,,No,No,Nothing,No,1|km,,,,,,,,,,,,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,No,No,Yes,No,No,,No,No,,,Yes,,No,Yes,Yes,No,,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0,27,27,0,0,12,12,0,0,13,13,0,0,11,11,0,0,8,8,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,103,103,6,2,2,0,2,,,0,0,0,EMIS,29.16235,68.08022,29.1621716666666,68.080075
7433,GBPS MUHAMMAD SIDDIQ BANGULZAI,NASEER ABAD,D.M.JAMALI,D M JAMALI,QUBA SHER KHAN,NILL,000,GOTH MUHAMMAD SIDIQ ,260,11,07488,GBHS SPECIAL DERA MURAD JAMALI,,03003708353,,,Rural,Summar,,Boys,Primary,Functional,,No,,No,Yes,Educaton Department,Pakka,Dangerous Condition,Yes,3,No,No,Yes,Pakka,In-Complete,No,Yes,No,,200|m,No,No,,No,Yes,Nothing,Yes,300|m,,,,,,,,,,,,Students,No,No,No,Weekly,No,"Nazla, Zukam, Bukhar",No,Yes,No,No,No,Yes,Sports,No,No,,,Yes,Yes,No,No,Yes,No,,7,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,15,0,0,12,12,0,0,19,19,0,0,18,18,0,0,20,19,0,0,17,17,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,99,100,3,3,3,0,3,,,0,0,0,EMIS,28.57398,68.23792,28.5738438546108,68.2378243952516
7441,GBMIDS AFZAL ABAD,NASEER ABAD,TAMBOO,MANJHO SHORI,ALIABAD,AFZAL ABAD,2,GOTH AFZAL ABAD,254,14,07453,GBHSS NOOR MUHAMMAD MENGAL,,03421247896,,,Urban,Summar,Single Shift,Boys,Middle,Functional,,No,,No,Yes,Educaton Department,Mix,Need Repair,Yes,3,No,No,Yes,Mix,In-Complete,Yes,Yes,No,QESCO,0|km,No,No,,No,No,Nalka,No,1|km,No,,,No,,,No,,,No,No,Students,No,No,No,Weekly,No,Malaria,No,No,Yes,No,No,Yes,Sports,No,No,,,Yes,Yes,,No,Yes,No,No,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,6,6,67,64,58,58,26,22,25,21,37,38,20,18,30,30,9,9,28,28,5,5,19,19,4,4,21,21,2,2,19,34,8,10,,0,,0,,0,,0,,0,,0,,0,,0,387,392,7,7,6,0,6,2,2,1,0,1,EMIS,28.46989,68.08433,28.4700855326632,68.0841838085461
7460,GBMIDS SHER MUHAMMAD NICHARI,NASEER ABAD,TAMBOO,MANJHO SHORI,ALIABAD,SHER MUHAMMAD NICHARI,3,GOHT SHER MUHAMMAD N,260,12,07453,GBHSS NOOR MUHAMMAD MENGAL,,03451996785,,,Rural,Summar,,Boys,Middle,Non-Functional,Teacher not available,No,,No,Yes,Educaton Department,Pakka,Dangerous Condition,Yes,5,No,No,No,,,No,Yes,No,,50|m,No,No,,No,No,Nalka,No,60|m,No,,,No,,,No,,,No,No,Students,No,No,No,Weekly,No,Malaria,No,No,No,Yes,No,Yes,,No,Yes,,,No,Yes,,Yes,Yes,No,No,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,EMIS,28.46708,68.10555,28.4670284008487,68.1056424545066
7462,GBMIDS DILMURAD GOLA (SODHA GOLA),NASEER ABAD,TAMBOO,TAMBOO,ALIABAD,GOALA WAH,06,GOTH DILMURAD KHAN G,256,13,07461,GBHS BEHRAM KHAN BULADI,,03478361436,,,Rural,Summar,,Boys,Middle,Functional,,No,,No,Yes,Educaton Department,Pakka,Need Repair,Yes,10,No,Yes,Yes,Pakka,Need Repair,No,Yes,Yes,QESCO,0|km,No,No,,No,Yes,Nalka,No,200|m,No,,,No,,,No,,,No,No,Sweeper,Yes,Yes,Yes,Daily,Yes,"Nazla, Zukam, Bukhar",Yes,No,Yes,No,No,Yes,,No,No,,,Yes,Yes,No,Yes,Yes,No,No,1,0,9,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,30,27,12,10,27,19,6,7,24,31,7,7,17,21,0,1,18,12,0,2,16,16,0,0,10,9,3,3,20,20,0,0,13,13,7,7,,0,,0,,0,,0,,0,,0,,0,,0,210,205,15,5,5,0,5,1,1,1,0,1,EMIS,28.39747,68.0405,28.3972210122881,68.0409305205184
7470,GBPS DAD MUHAMMAD ZEHRI,NASEER ABAD,TAMBOO,TAMBOO,ALIABAD,NIL,0,GOHT DAD MUHAMMAD ZE,266,12,07450,GBHS MIR GUL JATAK,,03453973866,,,Rural,Summar,,Boys,Primary,Functional,,No,,Yes,Yes,Educaton Department,Pakka,Satisfactory ,Yes,2,No,No,Yes,Kacha,In-Complete,Yes,Yes,No,,500|m,No,No,,No,No,Naher,No,0|km,,,,,,,,,,,,Teachers,No,No,No,Weekly,No,Malaria,No,No,No,Yes,Yes,Yes,Sports,No,No,,,Yes,Yes,,Yes,Yes,No,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,4,5,1,0,13,13,2,2,3,3,2,2,1,1,5,5,2,2,2,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,40,40,1,1,1,0,1,,,0,0,0,EMIS,28.39695,68.07961,28.3969612680612,68.079841475854
